,Band4,Band5,Band6
910,34,44,20
911,23,118,61
912,25,108,55
913,22,100,54
914,33,36,19
915,17,14,11
916,24,107,55
917,18,15,15
918,41,85,84
919,23,118,61
920,23,101,46
921,20,96,51
922,33,36,19
923,30,56,61
924,23,101,46
925,23,109,54
926,15,81,39
927,43,69,80
928,23,106,65
929,22,100,54
930,22,95,53
931,20,96,51
932,25,112,58
933,20,121,62
934,23,105,65
935,22,17,16
936,20,99,45
937,24,121,58
938,23,101,46
939,23,101,46
940,21,95,51
941,24,106,69
942,25,112,65
943,25,112,65
944,23,106,65
945,22,95,53
946,21,100,59
947,50,72,94
948,30,56,61
949,22,121,53
950,12,95,39
951,37,115,66
952,37,115,66
953,24,121,58
954,17,93,44
955,23,98,57
956,23,98,57
957,47,67,92
958,21,95,51
959,17,93,44
960,14,110,44
961,18,93,45
962,20,121,62
963,22,95,53
964,19,101,48
965,40,75,91
966,23,98,57
967,18,93,45
968,27,46,33
969,22,121,53
970,12,95,39
971,21,105,55
972,179,183,86
973,23,105,65
974,34,44,20
975,21,100,59
976,18,107,46
977,41,67,83
978,25,112,65
979,25,112,65
980,190,193,55
981,41,76,100
982,29,93,85
983,23,100,69
984,22,121,53
985,190,193,55
986,23,105,65
987,14,110,44
988,21,100,59
989,20,121,62
990,17,93,44
991,22,95,53
992,23,98,57
993,41,76,100
994,25,91,53
995,24,106,69
996,23,105,65
997,30,56,61
998,25,91,53
999,190,193,55
1000,24,106,69
1001,12,95,39
1002,37,115,66
1003,40,75,91
1004,25,91,53
1005,22,121,53
1006,21,100,59
1007,22,95,53
1008,55,61,60
1009,20,121,62
1010,24,106,69
1011,22,121,53
1012,190,193,55
1013,21,95,51
1014,203,193,99
1015,17,14,11
1016,23,100,69
1017,20,121,62
1018,18,107,46
1019,23,100,69
1020,22,121,53
1021,22,121,53
1022,12,95,39
1023,31,69,48
1024,29,93,85
1025,29,93,85
1026,25,112,65
1027,190,193,55
1028,23,100,69
1029,22,95,53
1030,22,95,53
1031,18,93,45
1032,24,106,69
1033,19,101,48
1034,43,87,94
1035,25,112,65
1036,21,95,51
1037,14,110,44
1038,25,91,53
1039,21,100,59
1040,20,121,62
1041,23,98,57
1042,14,110,44
1043,25,112,65
1044,20,121,62
1045,12,95,39
1046,20,121,62
1047,41,73,77
1048,24,106,69
1049,21,100,59
1050,21,95,51
1051,22,95,53
1052,22,121,53
1053,26,25,22
1054,21,95,51
1055,23,105,65
1056,14,110,44
1057,21,105,55
1058,23,105,65
1059,18,107,46
1060,22,95,53
1061,19,101,48
1062,24,121,58
1063,25,91,53
1064,22,121,53
1065,18,107,46
1066,15,66,36
1067,25,112,65
1068,25,112,65
1069,190,193,55
1070,190,193,55
1071,12,95,39
1072,24,121,58
1073,190,193,55
1074,20,121,62
1075,20,121,62
1076,24,106,69
1077,26,25,22
1078,19,101,48
1079,12,95,39
1080,12,95,39
1081,21,105,55
1082,22,121,53
1083,30,87,82
1084,25,91,53
1085,22,121,53
1086,25,112,65
1087,18,107,46
1088,22,95,53
1089,29,93,85
1090,23,98,57
1091,23,100,69
1092,18,107,46
1093,40,135,101
1094,23,100,69
1095,20,121,62
1096,21,95,51
1097,19,101,48
1098,19,101,48
1099,29,93,85
1100,15,66,36
1101,21,100,59
1102,20,121,62
1103,23,105,65
1104,18,107,46
1105,19,101,48
1106,18,93,45
1107,24,106,69
1108,21,100,59
1109,31,30,17
1110,18,107,46
1111,40,135,101
1112,25,91,53
1113,190,193,55
1114,23,100,69
1115,22,121,53
1116,21,100,59
1117,23,98,57
1118,24,121,58
1119,12,95,39
1120,21,95,51
1121,23,105,65
1122,23,105,65
1123,23,98,57
1124,29,93,85
1125,25,112,65
1126,23,105,65
1127,19,101,48
1128,14,110,44
1129,17,14,11
1130,18,93,45
1131,21,105,55
1132,20,121,62
1133,26,25,22
1134,29,93,85
1135,23,81,45
1136,190,193,55
1137,22,95,53
1138,22,95,53
1139,19,101,48
1140,21,95,51
1141,23,100,69
1142,21,95,51
1143,22,121,53
1144,18,93,45
1145,24,121,58
1146,24,106,69
1147,18,93,45
1148,31,69,48
1149,203,193,99
1150,190,193,55
1151,31,30,17
1152,18,107,46
1153,23,98,57
1154,25,112,65
1155,190,193,55
1156,23,98,57
1157,24,106,69
1158,24,106,69
1159,23,100,69
1160,22,121,53
1161,22,121,53
1162,26,25,22
1163,23,105,65
1164,23,105,65
1165,25,112,65
1166,190,193,55
1167,18,107,46
1168,31,57,67
1169,25,91,53
1170,29,93,85
1171,14,110,44
1172,18,93,45
1173,29,93,85
1174,23,105,65
1175,12,95,39
1176,20,79,44
1177,22,95,53
1178,24,121,58
1179,31,30,17
1180,12,95,39
1181,21,100,59
1182,20,121,62
1183,18,107,46
1184,12,95,39
1185,25,91,53
1186,18,93,45
1187,18,93,45
1188,30,56,61
1189,18,107,46
1190,28,54,45
1191,22,121,53
1192,12,95,39
1193,24,121,58
1194,26,25,22
1195,23,98,57
1196,19,101,48
1197,23,100,69
1198,21,100,59
1199,19,101,48
1200,22,121,53
1201,12,95,39
1202,21,100,59
1203,15,81,39
1204,24,106,69
1205,22,121,53
1206,22,121,53
1207,22,121,53
1208,18,107,46
1209,23,98,57
1210,41,76,100
1211,23,105,65
1212,18,107,46
1213,22,95,53
1214,22,95,53
1215,40,135,101
1216,190,193,55
1217,23,105,65
1218,203,193,99
1219,23,105,65
1220,12,95,39
1221,25,91,53
1222,21,100,59
1223,190,193,55
1224,18,107,46
1225,21,105,55
1226,31,69,48
1227,21,95,51
1228,21,105,55
1229,203,193,99
1230,24,121,58
1231,17,99,52
1232,25,112,65
1233,190,193,55
1234,23,105,65
1235,17,93,44
1236,22,95,53
1237,24,105,68
1238,17,14,11
1239,29,93,85
1240,23,100,69
1241,190,193,55
1242,20,121,62
1243,25,112,65
1244,12,95,39
1245,23,100,69
1246,22,121,53
1247,14,44,21
1248,23,98,57
1249,24,121,58
1250,21,95,51
1251,18,107,46
1252,190,193,55
1253,25,91,53
1254,24,106,69
1255,29,93,85
1256,29,93,85
1257,21,100,59
1258,23,105,65
1259,20,103,50
1260,14,110,44
1261,23,100,69
1262,32,46,29
1263,24,121,58
1264,18,93,45
1265,26,111,60
1266,24,132,53
1267,25,72,51
1268,54,74,91
1269,24,110,59
1270,19,126,56
1271,212,205,89
1272,27,137,64
1273,38,131,78
1274,32,111,44
1275,25,72,51
1276,22,97,55
1277,38,131,78
1278,19,126,56
1279,178,170,61
1280,14,44,21
1281,23,127,66
1282,23,97,56
1283,14,84,41
1284,35,130,62
1285,47,45,20
1286,27,137,64
1287,27,137,64
